,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR
4719,0,43.6,2.7,82.8,0,15.0,1015.0,82.0,3.0,1.0,0,26,8,2018
4720,3,32.6,97.7,80.0,2,17.0,1021.0,82.0,2.0,2.0,11,12,4,2019
4722,0,38.2,3.0,82.0,0,10.0,1024.0,100.0,2.0,5.0,23,11,12,2018
4725,1,32.6,13.0,94.0,2,20.0,1014.0,88.0,5.0,4.0,10,13,7,2019
4727,1,37.2,7.5,80.1,2,14.0,1021.0,93.0,4.0,4.0,12,12,12,2018
4729,1,40.9,3.4,82.1,0,16.0,1014.0,93.0,1.0,4.0,6,20,9,2019
4730,3,42.0,47.9,73.6,2,15.0,1019.0,72.0,6.0,6.0,14,10,4,2019
4731,1,34.7,12.9,94.1,2,13.0,1022.0,82.0,6.0,6.0,12,9,2,2019
4732,1,40.0,7.2,87.9,0,16.0,1018.0,93.0,1.0,1.0,23,24,8,2018
4734,4,40.8,141.3,80.5,2,15.0,1022.0,87.0,3.0,6.0,9,27,9,2019
4736,2,38.1,27.9,87.3,2,16.0,1025.0,88.0,2.0,4.0,13,2,11,2018
4737,0,40.7,0.0,77.9,2,19.0,1018.0,64.0,1.0,1.0,8,21,10,2018
4738,4,44.7,104.7,85.7,1,13.0,1013.0,77.0,5.0,1.0,7,19,10,2018
4739,2,40.2,33.1,88.5,2,19.0,1018.0,82.0,2.0,5.0,11,12,8,2018
4741,1,40.4,19.2,83.8,2,19.0,1016.0,88.0,3.0,4.0,13,28,8,2018
4743,3,43.2,71.1,94.7,0,10.0,1020.0,70.0,2.0,1.0,19,19,2,2019
4744,0,40.2,0.0,67.9,0,16.0,1018.0,93.0,1.0,4.0,4,3,6,2019
4745,1,37.6,23.3,92.5,2,19.0,1021.0,82.0,3.0,5.0,11,29,8,2018
4746,2,37.1,35.8,89.6,2,21.0,1011.0,53.0,4.0,5.0,16,18,10,2018
4750,0,38.6,0.0,69.6,0,15.0,1029.0,82.0,2.0,4.0,22,5,12,2018
4751,0,44.7,1.3,80.6,0,12.0,1018.0,54.0,1.0,1.0,4,4,10,2018
4752,2,36.8,47.8,91.7,2,20.0,1016.0,68.0,8.0,1.0,18,16,8,2018
4756,3,34.0,61.4,80.0,2,19.0,1022.0,68.0,4.0,6.0,15,15,6,2019
4760,0,43.9,0.0,85.1,0,20.0,1017.0,64.0,3.0,1.0,4,21,10,2018
4761,2,44.9,5.3,67.1,1,7.0,1020.0,93.0,3.0,2.0,6,12,4,2019
4762,4,46.6,126.8,85.3,2,18.0,1021.0,39.0,4.0,1.0,8,3,10,2018
4763,0,43.6,0.0,88.7,0,16.0,1018.0,72.0,2.0,1.0,6,21,10,2018
4765,2,38.0,21.4,94.2,2,17.0,1020.0,48.0,2.0,1.0,10,25,10,2018
4767,1,37.6,16.9,92.5,1,20.0,1016.0,88.0,2.0,3.0,19,8,9,2018
4769,2,37.8,35.1,92.8,2,11.0,1019.0,66.0,4.0,1.0,17,19,2,2019
4770,1,44.7,5.7,83.9,0,10.0,1012.0,93.0,0.0,3.0,2,12,11,2018
4771,0,38.1,7.4,91.4,0,20.0,1020.0,77.0,2.0,4.0,20,29,7,2018
4772,3,40.0,36.4,94.4,0,18.0,1022.0,59.0,2.0,1.0,19,26,2,2019
4773,1,43.7,18.7,82.8,2,21.0,1017.0,100.0,1.0,4.0,12,17,9,2019
4776,2,36.2,44.7,84.1,2,13.0,1019.0,76.0,2.0,4.0,9,13,4,2019
4777,1,36.2,7.1,83.9,2,14.0,1021.0,67.0,8.0,4.0,14,9,2,2019
4779,2,34.2,43.1,87.8,2,20.0,1016.0,69.0,1.0,5.0,14,17,9,2018
4781,3,43.8,98.6,86.3,2,21.0,1015.0,68.0,3.0,5.0,15,8,8,2018
4782,0,42.1,0.0,75.6,0,12.0,1018.0,76.0,9.0,4.0,4,23,1,2019
4783,1,38.8,8.7,83.8,0,20.0,1024.0,88.0,0.0,1.0,21,27,9,2018
4785,0,41.5,0.0,75.6,0,10.0,1012.0,76.0,1.0,2.0,4,31,3,2019
4786,0,44.4,0.0,75.5,0,15.0,1021.0,67.0,2.0,1.0,21,2,10,2018
4787,2,39.6,21.5,82.7,2,12.0,1024.0,93.0,3.0,3.0,11,30,11,2018
4788,1,32.4,12.4,93.9,2,20.0,1026.0,40.0,4.0,1.0,13,22,2,2019
4790,1,40.3,3.6,67.6,0,12.0,1012.0,82.0,2.0,6.0,0,7,6,2019
4792,1,40.6,4.6,74.9,2,12.0,1020.0,87.0,3.0,4.0,8,29,9,2019
4793,3,37.5,134.4,90.4,2,20.0,1018.0,88.0,3.0,4.0,17,12,8,2018
4794,3,38.8,46.1,83.0,0,19.0,1021.0,93.0,3.0,3.0,19,27,9,2019
4795,1,40.8,7.5,82.4,2,20.0,1005.0,52.0,6.0,1.0,12,10,10,2018
4797,2,40.6,5.8,60.8,0,14.0,1019.0,100.0,2.0,6.0,3,28,6,2019
4798,1,34.7,10.4,76.9,2,14.0,1004.0,87.0,5.0,4.0,9,22,4,2019
4801,1,44.1,12.6,88.7,2,19.0,1014.0,100.0,4.0,4.0,7,18,8,2019
4804,1,35.3,6.6,70.8,0,15.0,1015.0,87.0,3.0,3.0,20,8,5,2019
4805,1,42.4,8.0,75.5,2,17.0,1014.0,82.0,2.0,5.0,12,26,10,2018
4806,1,51.4,2.0,69.7,0,10.0,1016.0,100.0,0.0,2.0,3,2,4,2019
4808,0,41.5,0.0,76.3,2,17.0,1014.0,82.0,1.0,2.0,8,21,4,2019
4809,2,42.5,35.1,86.9,2,24.0,1008.0,36.0,3.0,1.0,14,9,10,2018
4810,1,32.1,15.9,87.5,2,12.0,1030.0,71.0,2.0,4.0,13,5,2,2019
4811,1,36.9,3.8,70.5,0,12.0,1001.0,100.0,1.0,3.0,3,20,11,2018
4813,0,43.5,2.6,75.9,0,16.0,1021.0,93.0,1.0,6.0,22,24,9,2019
4814,0,47.6,0.0,73.6,1,12.0,1010.0,82.0,5.0,1.0,7,17,11,2018
4816,2,33.9,44.2,80.4,2,19.0,1013.0,88.0,3.0,3.0,17,23,6,2019
4817,4,46.1,97.8,68.7,2,12.0,1013.0,93.0,4.0,4.0,7,9,5,2019
4819,3,41.9,57.2,86.6,2,23.0,1018.0,64.0,7.0,4.0,16,12,10,2018
4820,1,37.9,15.0,91.1,0,17.0,1015.0,77.0,3.0,1.0,21,25,8,2018
4821,0,35.3,5.7,87.2,0,18.0,1016.0,93.0,2.0,4.0,1,15,7,2019
4823,2,39.4,37.8,80.4,2,17.0,1026.0,72.0,3.0,5.0,15,5,12,2018
4824,2,37.7,29.6,89.4,2,25.0,1019.0,41.0,4.0,1.0,15,1,10,2018
4827,2,37.1,40.3,90.2,2,23.0,1016.0,53.0,6.0,1.0,16,14,8,2018
4829,0,40.0,0.0,88.8,0,13.0,1022.0,100.0,0.0,1.0,3,23,9,2018
4830,1,49.7,3.7,73.3,0,15.0,1029.0,82.0,2.0,4.0,21,5,12,2018
4831,2,35.4,30.2,91.4,2,22.0,1015.0,77.0,3.0,3.0,14,7,7,2019
4834,0,35.6,6.4,97.3,0,19.0,1017.0,88.0,1.0,6.0,22,5,7,2019
4836,3,42.9,110.5,82.0,2,20.0,1021.0,77.0,3.0,6.0,17,26,9,2019
4840,0,42.5,0.0,73.9,0,11.0,1023.0,93.0,2.0,4.0,4,12,12,2018
4841,2,34.7,27.4,98.7,2,9.0,1023.0,76.0,4.0,1.0,11,20,2,2019
4842,0,43.6,7.1,80.2,0,15.0,1012.0,93.0,3.0,4.0,3,22,9,2019
4843,1,44.1,2.3,85.4,0,16.0,1020.0,63.0,2.0,1.0,22,1,10,2018
4847,1,38.1,9.9,80.4,0,11.0,1021.0,81.0,1.0,2.0,21,11,4,2019
4848,0,39.0,1.1,72.2,0,7.0,1032.0,100.0,0.0,4.0,6,9,12,2018
4849,0,39.0,3.4,94.2,2,19.0,1015.0,88.0,1.0,4.0,8,14,7,2019
4850,1,45.3,4.0,73.3,0,18.0,1018.0,100.0,0.0,4.0,22,27,8,2019
4851,1,41.2,10.8,82.3,2,17.0,1018.0,100.0,1.0,6.0,10,31,8,2019
4852,1,48.7,0.9,76.8,0,12.0,1022.0,76.0,5.0,4.0,6,28,11,2018
4854,3,32.1,53.3,80.9,2,18.0,1013.0,63.0,3.0,2.0,16,16,4,2019
4855,0,38.5,1.8,74.4,0,14.0,1007.0,76.0,4.0,2.0,0,22,4,2019
4857,3,33.2,142.1,99.4,1,18.0,1027.0,52.0,1.0,1.0,18,24,2,2019
4858,2,40.6,36.5,87.6,2,21.0,1016.0,77.0,3.0,5.0,15,27,7,2018
4861,1,36.1,15.6,96.1,2,20.0,1019.0,77.0,2.0,4.0,19,29,7,2018
4863,2,38.5,27.0,89.5,2,23.0,1016.0,83.0,4.0,4.0,15,13,7,2019
4864,3,34.4,63.1,91.6,2,12.0,1005.0,87.0,1.0,5.0,16,31,10,2018
4866,2,37.7,38.2,91.3,2,11.0,1002.0,87.0,3.0,5.0,16,30,10,2018
4867,2,39.7,39.1,88.7,2,22.0,1020.0,60.0,3.0,3.0,15,29,7,2018
4870,2,31.9,23.6,77.0,2,19.0,1018.0,48.0,2.0,6.0,12,30,3,2019
4871,3,42.3,59.1,92.4,1,15.0,1024.0,72.0,1.0,1.0,18,15,2,2019
4873,2,32.1,23.9,80.8,2,16.0,1023.0,87.0,7.0,4.0,15,2,12,2018
4874,2,34.5,21.8,83.3,0,15.0,1016.0,77.0,3.0,1.0,20,15,11,2018
4875,0,39.9,3.8,78.0,0,13.0,1019.0,87.0,4.0,5.0,20,24,1,2019
4876,0,40.6,0.0,86.7,2,14.0,1020.0,93.0,3.0,4.0,9,29,9,2019
4877,0,42.1,3.4,88.4,2,20.0,1017.0,46.0,6.0,1.0,8,18,8,2018
4881,1,40.3,16.0,88.9,0,23.0,1016.0,78.0,1.0,1.0,23,3,8,2018
4882,1,34.3,11.9,101.2,2,14.0,1022.0,54.0,4.0,1.0,14,20,2,2019
4883,1,37.3,5.2,79.5,2,20.0,1015.0,82.0,3.0,6.0,13,24,6,2019
4886,2,46.5,8.2,62.9,0,10.0,1024.0,100.0,1.0,4.0,7,28,1,2019
4887,3,41.7,27.5,74.4,2,15.0,1027.0,39.0,5.0,1.0,12,10,12,2018
4888,2,40.0,21.0,87.4,2,29.0,1016.0,29.0,2.0,1.0,15,18,8,2018
4889,0,40.4,5.3,87.4,0,17.0,1019.0,93.0,4.0,4.0,23,28,8,2018
4890,1,46.7,10.2,80.4,0,18.0,1013.0,82.0,1.0,1.0,21,6,9,2018
4893,0,41.3,0.0,90.0,0,11.0,1028.0,100.0,1.0,4.0,4,2,3,2019
4895,3,33.9,80.3,75.8,2,14.0,1017.0,77.0,4.0,3.0,10,5,6,2019
4896,0,39.3,2.3,70.6,0,6.0,1023.0,87.0,2.0,1.0,23,17,1,2019
4898,2,46.4,29.8,81.3,0,14.0,1016.0,93.0,0.0,6.0,20,25,10,2018
4899,1,34.3,19.5,90.3,2,13.0,1026.0,76.0,2.0,5.0,13,6,2,2019
4900,0,44.9,1.2,79.5,0,16.0,1020.0,48.0,3.0,1.0,23,1,10,2018
4901,0,41.9,0.0,87.0,0,16.0,1020.0,39.0,5.0,1.0,3,2,10,2018
4904,1,41.2,3.1,84.3,0,10.0,1018.0,87.0,1.0,3.0,21,29,1,2019
4910,3,34.2,70.4,77.9,2,21.0,1019.0,82.0,6.0,6.0,15,30,6,2019
4913,2,34.2,37.7,74.5,2,21.0,1015.0,77.0,3.0,6.0,17,24,6,2019
4914,0,43.8,7.0,80.9,0,18.0,1024.0,93.0,0.0,1.0,23,27,9,2018
4916,2,33.1,13.4,77.8,2,17.0,1014.0,72.0,5.0,2.0,12,1,4,2019
4925,1,37.1,12.1,90.2,2,20.0,1019.0,73.0,2.0,4.0,9,30,7,2018
4926,3,41.8,38.5,71.6,2,21.0,1018.0,77.0,3.0,6.0,12,27,6,2019
4927,2,39.8,22.5,89.6,0,23.0,1015.0,69.0,1.0,1.0,22,2,8,2018
4929,3,31.4,184.8,100.5,2,19.0,1029.0,48.0,2.0,1.0,17,23,2,2019
4930,3,41.4,86.3,77.0,2,14.0,1017.0,82.0,3.0,6.0,9,5,6,2019
4931,1,39.8,11.7,90.6,0,26.0,1014.0,48.0,2.0,1.0,20,2,8,2018
4932,1,39.6,11.5,89.1,2,23.0,1022.0,27.0,7.0,1.0,11,2,10,2018
4934,2,39.1,19.1,85.8,2,18.0,1018.0,100.0,1.0,4.0,11,31,8,2019
4935,0,42.5,0.0,87.4,0,19.0,1016.0,60.0,3.0,1.0,3,18,8,2018
4936,2,40.8,21.5,82.7,2,22.0,1019.0,33.0,2.0,1.0,10,4,10,2018
4937,1,40.0,11.5,79.3,0,12.0,999.0,66.0,4.0,4.0,22,31,1,2019
4938,4,44.1,76.6,87.3,2,19.0,1021.0,63.0,7.0,1.0,18,9,8,2018
4940,3,42.1,49.0,87.8,2,21.0,1007.0,43.0,4.0,5.0,17,9,10,2018
4942,2,41.6,44.6,88.8,0,22.0,1024.0,83.0,3.0,1.0,19,27,9,2018
4943,0,34.2,5.3,94.3,2,8.0,1030.0,70.0,2.0,1.0,12,3,2,2019
4945,1,34.9,5.5,79.6,1,28.0,1012.0,35.0,4.0,1.0,19,1,9,2018
4946,2,38.8,16.9,88.9,2,14.0,1016.0,72.0,1.0,1.0,11,12,11,2018
4948,4,47.4,98.5,74.7,1,6.0,1015.0,93.0,3.0,4.0,8,30,1,2019
4949,0,48.6,4.8,69.9,0,3.0,1020.0,93.0,1.0,1.0,6,26,1,2019
4950,3,38.1,41.9,85.4,0,14.0,1023.0,76.0,2.0,4.0,17,11,12,2018
4951,4,41.9,75.6,80.5,2,1.0,1021.0,86.0,4.0,5.0,9,18,1,2019
4952,4,44.3,66.8,92.7,0,10.0,1028.0,87.0,1.0,1.0,19,5,2,2019
4953,2,37.2,31.1,95.9,2,13.0,1025.0,82.0,2.0,5.0,16,6,2,2019
4954,3,37.0,240.7,74.8,2,20.0,1014.0,87.0,6.0,6.0,18,15,5,2019
4957,1,34.1,6.1,76.3,1,21.0,1014.0,83.0,3.0,6.0,20,13,7,2019
4958,2,34.6,26.2,72.8,2,16.0,1018.0,67.0,4.0,3.0,14,5,6,2019
4960,0,52.3,0.0,79.6,0,18.0,1017.0,31.0,2.0,1.0,4,19,8,2018
4961,2,42.9,23.0,85.6,2,21.0,1020.0,29.0,3.0,1.0,13,1,10,2018
4966,0,34.4,0.0,92.2,0,6.0,1014.0,100.0,2.0,3.0,5,1,11,2018
4968,0,34.7,7.1,83.4,2,12.0,1016.0,58.0,5.0,1.0,9,27,10,2018
4969,1,37.7,11.2,89.4,2,17.0,1016.0,82.0,5.0,4.0,13,17,10,2018
4970,0,42.3,0.0,75.4,0,5.0,1023.0,93.0,0.0,4.0,5,22,1,2019
4971,2,37.0,38.8,87.3,2,19.0,1022.0,88.0,2.0,3.0,12,25,9,2019
4972,1,34.8,17.9,86.7,0,7.0,1012.0,100.0,1.0,5.0,1,1,11,2018
4975,2,32.1,42.7,83.1,2,14.0,1009.0,93.0,4.0,4.0,16,19,1,2019
4976,2,38.3,37.4,90.1,2,25.0,1015.0,51.0,4.0,1.0,19,17,8,2018
4978,1,32.6,13.8,89.7,2,15.0,1020.0,67.0,6.0,5.0,12,17,2,2019
4979,0,42.4,0.0,74.8,0,13.0,1013.0,72.0,4.0,1.0,3,15,11,2018
4982,3,47.1,53.8,79.9,2,19.0,1017.0,82.0,4.0,6.0,17,22,9,2019
4983,2,37.3,24.7,85.8,2,22.0,1020.0,68.0,4.0,1.0,15,11,8,2018
4985,0,39.8,3.5,92.3,0,16.0,1014.0,93.0,2.0,1.0,22,26,8,2018
4987,0,47.7,0.0,73.0,0,8.0,1019.0,87.0,3.0,4.0,2,16,1,2019
4990,3,38.6,43.7,90.7,2,23.0,1012.0,73.0,2.0,5.0,16,4,9,2018
4992,4,39.2,99.7,76.6,2,17.0,1017.0,100.0,1.0,4.0,8,5,7,2019
4994,3,36.8,55.2,81.2,2,19.0,1014.0,63.0,3.0,6.0,14,16,4,2019
4995,0,44.4,1.4,66.4,0,17.0,1017.0,93.0,0.0,6.0,23,26,6,2019
4996,4,46.6,66.8,89.8,2,11.0,1030.0,51.0,5.0,1.0,10,25,2,2019
4997,3,40.4,42.4,87.8,2,21.0,1013.0,69.0,2.0,5.0,18,6,9,2018
4998,0,47.8,0.0,71.1,0,13.0,1024.0,100.0,4.0,4.0,6,2,12,2018
4999,2,34.5,22.2,102.8,2,17.0,1023.0,37.0,4.0,1.0,12,16,2,2019
5001,3,36.8,89.8,91.5,2,21.0,1016.0,68.0,3.0,5.0,14,8,8,2018
5002,3,41.9,66.0,86.5,0,14.0,1026.0,100.0,2.0,5.0,19,2,11,2018
5003,2,36.2,21.2,79.5,2,20.0,1018.0,88.0,7.0,6.0,19,20,7,2019
5004,2,43.4,5.9,62.8,2,11.0,1016.0,81.0,4.0,3.0,6,17,5,2019
5006,2,40.5,37.6,88.3,2,20.0,1022.0,78.0,4.0,1.0,15,22,9,2018
5007,0,35.9,4.1,96.0,0,4.0,1021.0,87.0,2.0,1.0,23,19,2,2019
5008,1,40.8,5.8,83.4,0,18.0,1022.0,82.0,2.0,1.0,20,23,9,2018
5009,0,45.1,4.5,77.1,0,9.0,1011.0,93.0,3.0,5.0,1,12,11,2018
5010,0,39.8,2.8,80.0,0,12.0,1016.0,77.0,3.0,1.0,3,16,11,2018
5011,0,35.6,4.6,73.6,0,13.0,1029.0,93.0,0.0,4.0,3,6,12,2018
5013,2,43.8,66.5,90.8,2,19.0,1022.0,77.0,4.0,6.0,19,11,8,2019
5014,0,42.8,1.8,88.6,0,15.0,1013.0,58.0,1.0,1.0,21,8,10,2018
5015,4,47.2,94.8,84.1,2,11.0,1019.0,67.0,0.0,1.0,8,4,10,2018
5016,0,42.2,6.9,86.8,2,13.0,1013.0,87.0,5.0,4.0,9,4,11,2018
5018,1,33.6,12.0,90.2,2,23.0,1015.0,73.0,4.0,3.0,13,4,7,2019
5020,0,47.2,0.0,86.0,0,18.0,1018.0,38.0,7.0,1.0,5,25,9,2018
5021,2,37.5,43.2,84.6,2,15.0,1017.0,82.0,5.0,3.0,15,24,1,2019
5022,4,40.6,54.8,69.6,2,20.0,1016.0,88.0,3.0,6.0,11,25,6,2019
5023,3,42.8,40.6,78.0,0,15.0,1028.0,77.0,2.0,4.0,19,5,12,2018
5027,0,41.7,0.0,87.4,0,17.0,1018.0,100.0,4.0,4.0,1,13,8,2018
5029,2,34.2,19.5,87.8,2,20.0,1013.0,82.0,1.0,4.0,12,4,9,2018
5030,0,45.2,3.8,84.8,0,20.0,1018.0,77.0,6.0,4.0,22,12,10,2018
5031,2,34.5,35.2,94.6,2,13.0,1026.0,87.0,1.0,4.0,15,7,2,2019
5033,3,39.0,95.5,77.2,2,16.0,1012.0,67.0,4.0,6.0,13,18,4,2019
5034,2,40.2,49.9,87.6,2,19.0,1019.0,77.0,3.0,3.0,10,13,8,2018
5035,1,40.9,11.8,74.1,2,21.0,1016.0,88.0,3.0,3.0,19,17,8,2019
5040,3,40.2,73.4,74.1,2,16.0,1013.0,100.0,3.0,4.0,7,4,7,2019
5042,1,41.3,5.6,86.4,0,21.0,1016.0,60.0,2.0,1.0,23,19,8,2018
5044,0,41.6,0.0,76.1,0,15.0,1008.0,72.0,3.0,2.0,23,21,4,2019
5045,0,37.2,3.6,86.3,0,13.0,1018.0,76.0,0.0,1.0,23,4,10,2018
5049,2,41.5,16.1,75.6,2,16.0,1014.0,77.0,5.0,6.0,15,1,4,2019
5050,0,40.8,2.7,82.8,0,15.0,1016.0,100.0,0.0,4.0,0,30,9,2018
5051,2,39.9,12.9,83.6,0,9.0,1029.0,93.0,1.0,5.0,20,5,2,2019
5053,2,34.1,27.6,83.0,2,25.0,1018.0,88.0,5.0,6.0,14,20,7,2019
5054,2,39.7,28.2,81.1,2,18.0,1014.0,72.0,4.0,6.0,14,4,6,2019
5056,0,44.0,0.0,80.9,0,19.0,1016.0,88.0,2.0,3.0,20,8,9,2018
5057,3,39.8,14.7,89.1,2,27.0,1015.0,55.0,3.0,1.0,8,3,8,2018
5058,1,35.7,7.1,90.0,0,17.0,1019.0,93.0,4.0,4.0,22,28,8,2018
5060,1,40.8,16.5,82.4,0,16.0,1020.0,87.0,3.0,1.0,22,29,8,2018
5062,0,37.7,1.0,73.5,0,15.0,1020.0,77.0,2.0,4.0,21,6,5,2019
5064,0,39.2,0.0,86.1,1,6.0,1015.0,81.0,5.0,5.0,8,2,2,2019
5065,2,40.0,27.1,89.3,2,20.0,1021.0,73.0,5.0,5.0,13,29,8,2018
5066,1,33.8,14.9,92.5,2,22.0,1015.0,83.0,5.0,6.0,12,13,7,2019
5067,0,38.8,0.0,70.8,0,14.0,1018.0,82.0,4.0,4.0,1,11,6,2019
5068,1,37.0,13.5,84.2,0,17.0,1018.0,52.0,4.0,2.0,21,19,4,2019
5069,2,41.1,12.1,81.1,1,19.0,1018.0,93.0,5.0,6.0,20,20,7,2019
5070,2,40.8,23.0,87.2,2,24.0,1021.0,32.0,3.0,1.0,14,22,10,2018
5072,0,44.3,0.0,89.7,0,18.0,1015.0,93.0,0.0,4.0,4,27,7,2018
5073,1,45.6,1.2,86.2,0,10.0,1018.0,71.0,1.0,1.0,6,4,10,2018
5074,0,38.9,0.0,93.0,0,11.0,1025.0,93.0,4.0,4.0,2,3,3,2019
5075,2,39.8,39.4,90.1,2,20.0,1019.0,72.0,3.0,4.0,18,29,7,2018
5078,1,45.7,17.3,81.3,2,14.0,1023.0,87.0,2.0,4.0,14,3,11,2018
5081,3,39.4,90.1,88.6,2,20.0,1017.0,77.0,5.0,3.0,10,7,8,2018
5087,0,44.5,4.1,82.6,0,11.0,1018.0,93.0,1.0,5.0,0,9,11,2018
5089,2,30.5,43.5,95.5,2,13.0,1020.0,82.0,7.0,6.0,17,9,2,2019
5090,3,46.8,41.3,85.3,0,9.0,1024.0,76.0,0.0,1.0,1,16,2,2019
5091,0,40.9,4.2,87.8,0,18.0,1018.0,77.0,3.0,1.0,2,21,10,2018
5093,1,41.9,3.7,73.3,0,6.0,1020.0,93.0,0.0,1.0,0,26,1,2019
5094,4,42.8,76.1,70.2,2,7.0,1023.0,93.0,3.0,4.0,9,22,1,2019
5097,1,46.4,4.5,75.8,0,16.0,1012.0,100.0,4.0,4.0,5,3,7,2019
5099,1,41.6,5.1,76.1,0,5.0,1024.0,93.0,2.0,1.0,4,21,1,2019
5102,3,39.4,27.8,89.6,2,13.0,1025.0,51.0,4.0,1.0,11,14,2,2019
5104,3,38.8,67.0,79.3,2,15.0,1030.0,93.0,2.0,5.0,16,6,12,2018
5106,3,44.9,65.8,78.3,2,12.0,1006.0,81.0,0.0,3.0,10,5,11,2018
5107,2,36.8,43.8,92.0,2,21.0,1016.0,77.0,3.0,4.0,11,27,7,2018
5108,0,44.5,0.0,88.9,2,16.0,1014.0,82.0,2.0,1.0,7,1,9,2018
5109,0,36.2,6.8,81.1,0,17.0,1021.0,93.0,1.0,6.0,20,25,9,2019
5110,0,39.6,0.0,70.1,0,3.0,1020.0,93.0,1.0,1.0,7,26,1,2019
5111,0,41.8,0.0,73.6,0,17.0,1007.0,68.0,4.0,6.0,20,21,4,2019
5112,2,37.1,31.4,89.6,2,22.0,1018.0,57.0,3.0,1.0,16,30,8,2018
5113,3,44.2,44.9,90.3,0,10.0,1029.0,81.0,3.0,1.0,19,11,2,2019
5114,0,44.0,4.6,85.5,2,17.0,1014.0,77.0,2.0,1.0,7,21,8,2018
5115,2,35.5,22.5,91.2,2,21.0,1016.0,82.0,1.0,3.0,11,7,7,2019
5118,0,37.0,1.4,67.4,0,10.0,1020.0,93.0,3.0,1.0,23,24,1,2019
5119,3,38.6,33.5,85.5,2,21.0,1017.0,93.0,5.0,4.0,14,15,7,2019
5122,0,42.5,0.0,89.6,0,16.0,1019.0,100.0,4.0,4.0,0,29,8,2018
5123,2,37.1,24.9,89.9,0,18.0,1021.0,88.0,2.0,5.0,19,20,9,2018
5124,1,33.8,9.5,84.0,2,17.0,1017.0,82.0,3.0,2.0,13,2,4,2019
5125,0,38.9,0.0,71.1,0,16.0,1014.0,100.0,3.0,4.0,20,14,4,2019
5128,4,45.1,119.6,62.2,2,14.0,1014.0,82.0,3.0,6.0,8,16,5,2019
5132,0,38.1,0.0,64.2,0,13.0,1015.0,93.0,2.0,3.0,22,8,5,2019
5133,2,33.5,13.0,65.8,2,18.0,1014.0,77.0,3.0,6.0,10,22,6,2019
5134,0,40.3,1.5,86.5,0,11.0,1010.0,93.0,2.0,3.0,21,11,11,2018
5135,2,38.1,47.0,81.6,0,14.0,1017.0,87.0,1.0,3.0,17,29,11,2018
5137,2,36.8,17.2,91.5,0,7.0,1020.0,81.0,1.0,1.0,20,19,2,2019
5139,1,38.5,17.5,86.4,2,17.0,1021.0,87.0,3.0,4.0,11,29,9,2019
5141,2,37.9,20.6,75.4,2,15.0,1016.0,62.0,5.0,3.0,14,18,5,2019
5142,0,39.2,0.0,89.8,0,5.0,1021.0,87.0,0.0,1.0,21,19,2,2019
5143,1,43.3,20.3,82.8,0,20.0,1020.0,94.0,1.0,4.0,22,30,7,2018
5144,0,38.8,0.8,71.0,0,12.0,1013.0,93.0,7.0,2.0,3,19,4,2019
5145,0,41.5,0.0,86.1,2,5.0,1017.0,80.0,2.0,5.0,9,2,2,2019
5146,2,42.2,16.8,69.9,2,14.0,1021.0,82.0,4.0,4.0,11,26,11,2018
5148,0,44.8,3.5,83.4,0,16.0,1025.0,77.0,1.0,1.0,22,23,10,2018
5150,3,43.8,30.1,80.9,2,4.0,1030.0,81.0,1.0,1.0,10,11,2,2019
5151,0,45.9,0.0,86.5,0,14.0,1018.0,100.0,0.0,3.0,4,29,7,2018
5152,4,44.9,121.3,84.6,2,13.0,1021.0,100.0,1.0,1.0,8,19,9,2018
5153,1,47.9,1.4,71.7,0,11.0,1020.0,87.0,5.0,4.0,23,22,1,2019
5155,2,39.2,15.2,84.9,0,12.0,1026.0,81.0,2.0,1.0,20,21,2,2019
5158,2,37.6,48.4,92.5,2,19.0,1020.0,82.0,3.0,5.0,18,9,9,2018
5160,0,41.8,0.0,74.3,0,14.0,1010.0,93.0,6.0,4.0,4,15,4,2019
5161,0,43.7,19.6,84.8,0,18.0,1021.0,93.0,0.0,4.0,1,21,9,2018
5162,3,33.3,131.9,100.5,2,20.0,1027.0,40.0,2.0,1.0,15,24,2,2019
5165,3,32.1,69.3,80.5,2,16.0,1021.0,76.0,3.0,6.0,14,11,4,2019
5166,0,35.9,0.0,84.9,2,3.0,1030.0,87.0,2.0,1.0,11,3,2,2019
5168,0,38.5,0.0,98.2,0,9.0,1020.0,87.0,3.0,3.0,7,17,2,2019
5169,2,33.0,25.4,86.3,2,19.0,1014.0,88.0,4.0,4.0,10,8,7,2019
5171,2,36.0,16.5,85.9,2,22.0,1019.0,77.0,5.0,6.0,13,30,6,2019
5174,2,38.8,16.9,81.2,0,19.0,1018.0,100.0,2.0,6.0,23,23,8,2019
5175,0,41.8,0.0,74.8,0,12.0,1011.0,82.0,1.0,2.0,5,1,4,2019
5177,0,42.9,0.0,71.4,0,16.0,1019.0,100.0,2.0,4.0,3,1,7,2019
5180,3,37.9,93.0,88.0,2,21.0,1013.0,77.0,3.0,3.0,15,20,9,2019
