,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,HOUR,DAY,MONTH,YEAR,IS_STORMY
3031,0,45.7,4.1,80.7,0,17.0,1017.0,100.0,2.0,20,22,8,2018,0.0
3032,2,43.8,15.9,80.4,2,12.0,1001.0,76.0,5.0,14,30,10,2018,0.0
3033,3,37.3,68.2,79.1,2,16.0,1014.0,77.0,4.0,11,4,6,2019,0.0
3034,3,37.1,62.8,92.6,2,10.0,1027.0,58.0,4.0,10,22,2,2019,0.0
3035,3,45.8,47.6,68.1,2,3.0,1025.0,100.0,0.0,10,21,1,2019,0.0
3036,1,39.8,11.5,79.8,0,17.0,1021.0,100.0,3.0,20,27,9,2019,0.0
3037,2,34.0,23.3,102.9,2,15.0,1028.0,62.0,7.0,11,27,2,2019,0.0
3038,4,45.7,81.3,77.5,2,19.0,1019.0,68.0,3.0,8,5,9,2019,0.0
3039,2,36.3,29.1,93.7,0,12.0,1029.0,76.0,1.0,21,23,2,2019,0.0
3040,0,45.7,2.0,88.3,0,16.0,1017.0,88.0,4.0,2,17,8,2018,0.0
3041,2,40.4,26.2,87.8,2,25.0,1010.0,57.0,4.0,18,27,8,2018,0.0
3042,0,41.6,0.0,76.1,0,13.0,1018.0,82.0,3.0,5,6,5,2019,0.0
3043,1,39.1,14.2,96.1,2,21.0,1017.0,73.0,3.0,12,1,9,2019,0.0
3045,0,35.6,3.4,62.8,0,13.0,1019.0,93.0,0.0,4,28,6,2019,0.0
3046,3,33.7,72.3,93.1,2,20.0,1017.0,77.0,7.0,17,18,8,2019,0.0
3047,4,49.4,103.1,63.6,2,14.0,1016.0,93.0,5.0,7,7,5,2019,0.0
3048,2,35.2,24.9,90.5,2,15.0,1019.0,82.0,4.0,15,1,11,2018,0.0
3049,0,44.7,0.0,87.8,0,17.0,1010.0,100.0,2.0,5,3,9,2018,0.0
3050,0,34.0,4.9,76.7,0,16.0,1014.0,100.0,3.0,21,14,4,2019,0.0
3051,0,43.0,2.9,74.9,0,16.0,1014.0,93.0,3.0,23,26,8,2018,0.0
3053,4,47.5,99.3,76.1,2,13.0,1016.0,100.0,0.0,8,17,9,2018,0.0
3054,0,42.0,0.0,75.0,0,13.0,1016.0,72.0,3.0,1,16,11,2018,0.0
3055,2,41.6,34.6,80.4,2,28.0,1023.0,39.0,4.0,11,13,9,2019,0.0
3056,0,40.3,4.4,67.2,0,13.0,1016.0,82.0,5.0,3,28,5,2019,0.0
3057,4,47.4,73.9,77.2,2,9.0,1017.0,100.0,2.0,8,18,2,2019,0.0
3058,2,39.3,19.3,86.2,0,18.0,1019.0,100.0,1.0,22,16,8,2019,0.0
3059,2,38.8,21.4,79.6,0,12.0,1024.0,54.0,6.0,20,10,12,2018,0.0
3060,0,45.6,4.3,85.5,0,16.0,1018.0,100.0,11.0,1,19,8,2019,0.0
3061,2,36.8,41.5,88.5,2,24.0,1017.0,78.0,2.0,12,17,8,2019,0.0
3062,2,34.6,32.1,81.6,2,29.0,1019.0,19.0,5.0,13,25,9,2018,0.0
3063,0,45.3,0.0,87.0,2,15.0,1018.0,100.0,0.0,7,12,8,2018,0.0
3064,3,37.4,80.3,76.7,2,19.0,1020.0,67.0,7.0,16,10,6,2019,0.0
3066,2,37.3,26.1,95.5,2,8.0,1025.0,54.0,5.0,10,15,2,2019,0.0
3067,4,45.3,57.0,75.3,2,26.0,1017.0,83.0,4.0,17,23,8,2019,0.0
3068,3,34.3,105.7,78.6,2,17.0,1018.0,87.0,3.0,10,22,5,2019,0.0
3069,0,39.6,0.0,80.7,0,11.0,1015.0,87.0,5.0,23,23,11,2018,0.0
3070,3,36.5,136.5,80.4,2,15.0,1013.0,93.0,5.0,10,8,5,2019,0.0
3071,0,41.1,0.0,90.6,0,5.0,1031.0,100.0,1.0,6,28,2,2019,0.0
3072,2,32.7,28.8,82.6,0,24.0,1018.0,60.0,5.0,19,14,9,2019,0.0
3073,0,47.0,6.1,89.0,2,17.0,1020.0,100.0,1.0,7,15,8,2019,0.0
3074,4,44.4,67.0,84.5,2,7.0,1015.0,100.0,3.0,8,12,11,2018,0.0
3075,1,40.7,16.6,80.9,2,16.0,1012.0,93.0,6.0,12,10,11,2018,0.0
3076,0,38.9,0.0,85.7,0,18.0,1016.0,93.0,0.0,0,25,7,2018,0.0
3077,2,33.9,23.2,83.1,0,11.0,1030.0,100.0,1.0,20,9,12,2018,0.0
3078,4,46.9,107.1,78.0,1,11.0,1020.0,100.0,0.0,7,26,9,2019,0.0
3079,3,41.1,61.0,81.4,2,18.0,1015.0,100.0,10.0,9,17,7,2019,0.0
3080,3,40.0,58.7,84.7,2,24.0,1017.0,83.0,3.0,15,27,8,2019,0.0
3081,1,40.3,14.2,86.5,2,21.0,1017.0,60.0,5.0,13,14,11,2018,0.0
3082,1,40.4,10.4,83.2,2,21.0,1015.0,60.0,2.0,12,26,8,2018,0.0
3083,4,48.4,101.5,79.2,2,8.0,1016.0,87.0,3.0,9,12,11,2018,0.0
3084,3,32.7,52.6,87.1,2,20.0,1015.0,100.0,7.0,10,19,7,2019,0.0
3085,0,40.5,0.0,88.8,0,16.0,1019.0,82.0,2.0,1,25,9,2018,0.0
3086,1,36.9,8.4,85.5,2,26.0,1021.0,27.0,8.0,12,12,5,2019,0.0
3087,0,42.6,0.5,74.9,0,14.0,1021.0,100.0,6.0,2,28,9,2019,0.0
3090,1,41.6,15.6,83.8,0,15.0,1012.0,100.0,3.0,4,22,9,2019,0.0
3091,1,42.4,3.1,62.2,0,13.0,1017.0,76.0,4.0,21,17,5,2019,0.0
3092,2,37.9,64.0,89.3,2,13.0,1008.0,62.0,3.0,16,29,10,2018,0.0
3093,1,43.8,10.0,86.3,2,22.0,1020.0,64.0,2.0,12,11,8,2018,0.0
3094,0,34.8,29.7,84.3,0,8.0,1025.0,66.0,5.0,5,14,2,2019,0.0
3095,2,47.5,4.9,64.8,0,15.0,1013.0,100.0,4.0,23,14,4,2019,0.0
3096,3,40.1,46.1,79.6,2,31.0,1016.0,45.0,4.0,17,22,8,2019,0.0
3097,2,38.3,18.3,68.3,2,16.0,1022.0,82.0,2.0,10,15,6,2019,0.0
3098,2,33.0,75.1,91.0,0,11.0,1024.0,76.0,6.0,18,27,1,2019,0.0
3099,0,35.6,4.9,89.7,0,16.0,1005.0,59.0,3.0,21,17,11,2018,0.0
3100,4,49.6,61.7,73.8,1,5.0,1021.0,100.0,2.0,8,17,1,2019,0.0
3101,2,42.6,17.5,74.5,2,30.0,1019.0,32.0,4.0,14,3,9,2019,0.0
3102,1,40.5,12.4,80.0,0,16.0,1017.0,100.0,1.0,6,22,8,2019,0.0
3103,0,47.5,1.6,84.9,2,21.0,1016.0,88.0,0.0,7,5,8,2018,0.0
3104,0,42.4,0.0,74.0,0,4.0,1020.0,93.0,0.0,5,26,1,2019,0.0
3106,0,44.3,2.4,85.8,0,13.0,1022.0,87.0,2.0,2,10,8,2018,0.0
3107,4,45.9,117.2,65.4,2,13.0,1018.0,71.0,2.0,7,6,5,2019,0.0
3109,1,37.6,11.4,91.4,2,26.0,1016.0,51.0,3.0,13,31,8,2018,0.0
3110,1,36.1,4.0,64.5,1,12.0,1006.0,71.0,6.0,6,17,4,2019,0.0
3111,4,45.2,67.5,68.0,2,19.0,1018.0,88.0,2.0,10,3,6,2019,0.0
3112,2,39.3,25.4,82.3,2,19.0,1023.0,60.0,7.0,12,10,9,2019,0.0
3113,3,33.5,52.5,78.3,2,20.0,1015.0,82.0,2.0,16,24,6,2019,0.0
3114,4,43.1,63.3,70.1,2,23.0,1017.0,49.0,7.0,18,28,5,2019,0.0
3115,1,36.2,7.3,73.8,0,14.0,1015.0,93.0,2.0,22,30,4,2019,0.0
3116,1,41.7,10.8,83.1,0,19.0,1016.0,100.0,3.0,23,17,8,2019,0.0
3117,0,48.2,0.0,77.0,0,13.0,1022.0,71.0,4.0,22,27,11,2018,0.0
3118,0,44.7,3.7,85.7,0,16.0,1017.0,100.0,1.0,2,14,9,2018,0.0
3120,3,39.0,45.0,82.2,2,10.0,1023.0,100.0,3.0,10,30,11,2018,0.0
3121,3,41.4,29.9,94.6,0,11.0,1018.0,71.0,5.0,19,29,1,2019,0.0
3122,0,44.2,2.8,77.8,0,6.0,1023.0,100.0,0.0,1,13,11,2018,0.0
3124,1,45.6,9.3,79.0,0,17.0,1017.0,93.0,2.0,21,24,8,2019,0.0
3125,3,40.0,74.7,87.4,2,26.0,1025.0,61.0,2.0,15,27,9,2018,0.0
3126,0,43.0,0.0,71.4,0,13.0,1019.0,93.0,1.0,0,17,6,2019,0.0
3127,4,40.7,78.4,83.9,2,27.0,1016.0,78.0,2.0,17,22,7,2019,0.0
3128,4,46.6,82.8,87.1,2,17.0,1016.0,100.0,2.0,8,25,7,2018,0.0
3129,0,46.8,1.5,86.2,0,18.0,1016.0,46.0,6.0,6,18,8,2018,0.0
3130,0,35.9,2.5,61.9,2,17.0,1017.0,100.0,2.0,8,29,6,2019,0.0
3131,2,37.1,30.6,89.6,2,19.0,1017.0,77.0,4.0,16,16,10,2018,0.0
3132,4,40.4,62.0,67.0,2,9.0,1023.0,100.0,2.0,9,30,11,2018,0.0
3133,2,50.2,13.0,67.0,0,21.0,1017.0,72.0,2.0,21,20,8,2019,0.0
3134,2,34.2,48.9,92.7,1,21.0,1017.0,73.0,1.0,20,5,7,2019,0.0
3135,2,34.9,11.6,76.6,0,15.0,1025.0,87.0,6.0,20,27,4,2019,0.0
3136,0,44.2,0.0,82.1,0,16.0,1018.0,93.0,0.0,4,12,8,2018,0.0
3137,2,40.0,26.9,88.8,2,23.0,1017.0,48.0,2.0,11,31,8,2018,0.0
3138,2,40.6,24.7,85.7,2,20.0,1021.0,72.0,6.0,19,12,8,2019,0.0
3139,0,40.5,1.7,77.0,0,18.0,1013.0,100.0,1.0,3,12,7,2019,0.0
3140,0,38.0,2.5,82.6,0,4.0,1023.0,100.0,0.0,0,18,1,2019,0.0
3141,0,47.8,0.0,72.3,0,9.0,1031.0,100.0,0.0,2,8,12,2018,0.0
3142,0,42.5,5.6,82.4,2,15.0,1018.0,100.0,1.0,8,12,8,2018,0.0
3143,4,44.0,112.9,61.7,2,16.0,1013.0,88.0,3.0,7,4,6,2019,0.0
3144,2,37.5,16.6,89.7,0,17.0,1015.0,100.0,2.0,3,19,7,2019,0.0
3146,2,34.6,34.9,78.4,2,19.0,1016.0,68.0,3.0,11,21,5,2019,0.0
3147,3,34.8,37.5,86.3,2,18.0,1015.0,82.0,6.0,19,30,4,2019,0.0
3148,2,43.1,27.3,84.6,2,21.0,1016.0,73.0,2.0,10,1,8,2018,0.0
3149,0,49.3,4.8,77.7,0,18.0,1018.0,49.0,5.0,4,6,9,2019,0.0
3150,3,32.0,103.8,82.1,2,13.0,1031.0,93.0,3.0,12,7,12,2018,0.0
3151,2,40.7,18.8,88.5,0,17.0,1017.0,88.0,0.0,22,27,7,2018,0.0
3152,1,41.2,18.7,90.1,0,24.0,1017.0,64.0,2.0,19,15,9,2019,0.0
3153,1,40.2,6.3,72.9,0,17.0,1019.0,100.0,1.0,23,28,8,2019,0.0
3154,3,41.3,73.9,82.8,2,18.0,1018.0,88.0,1.0,9,30,9,2019,0.0
3155,3,37.6,58.5,89.9,0,19.0,1011.0,68.0,4.0,18,18,10,2018,0.0
3156,4,43.3,61.3,66.7,2,16.0,1022.0,63.0,5.0,19,7,6,2019,0.0
3157,1,35.7,9.6,78.5,2,13.0,1021.0,93.0,2.0,8,15,6,2019,0.0
3159,3,43.0,71.5,82.2,2,29.0,1014.0,37.0,2.0,19,20,8,2018,0.0
3160,3,34.5,110.7,80.4,2,12.0,1023.0,71.0,6.0,17,27,1,2019,0.0
3161,3,34.8,108.8,84.9,2,20.0,1019.0,83.0,1.0,10,16,8,2019,0.0
3162,2,39.7,47.2,79.2,2,22.0,1017.0,93.0,2.0,15,18,9,2019,0.0
3163,0,37.5,0.0,81.1,2,20.0,1017.0,73.0,1.0,9,28,7,2018,0.0
3164,0,39.1,0.0,69.1,0,10.0,1019.0,87.0,2.0,4,13,4,2019,0.0
3165,4,44.4,115.1,64.4,2,16.0,1018.0,77.0,4.0,8,27,5,2019,0.0
3166,0,45.7,0.0,80.9,0,10.0,1020.0,76.0,2.0,5,7,10,2018,0.0
3167,0,40.0,2.2,67.9,2,14.0,1016.0,93.0,1.0,6,20,6,2019,0.0
3168,2,40.4,37.3,90.8,2,20.0,1016.0,83.0,2.0,17,8,9,2018,0.0
3169,0,45.1,0.0,86.6,0,12.0,1019.0,93.0,1.0,3,30,8,2018,0.0
3170,1,41.1,19.7,87.7,2,9.0,1020.0,81.0,3.0,10,20,1,2019,0.0
3171,1,40.1,4.5,90.7,0,19.0,1016.0,88.0,1.0,20,6,8,2018,0.0
3172,2,37.3,5.2,81.7,0,16.0,1015.0,100.0,0.0,6,17,9,2019,0.0
3173,3,42.4,26.6,78.1,2,10.0,996.0,71.0,10.0,14,1,2,2019,0.0
3174,1,41.9,5.4,84.5,0,16.0,1017.0,82.0,1.0,21,30,8,2018,0.0
3175,4,44.9,120.5,84.6,2,13.0,1010.0,55.0,4.0,8,9,10,2018,0.0
3176,0,43.3,0.0,85.5,0,16.0,1016.0,100.0,1.0,4,17,9,2019,0.0
3177,0,39.1,0.0,92.2,2,10.0,1028.0,93.0,2.0,8,2,3,2019,0.0
3179,2,34.8,12.1,67.1,0,24.0,1014.0,29.0,1.0,20,14,5,2019,0.0
3181,3,44.3,57.1,70.6,0,13.0,1018.0,93.0,1.0,18,29,11,2018,0.0
3182,2,39.0,37.9,90.1,2,21.0,1016.0,83.0,5.0,12,26,7,2018,0.0
3183,3,36.0,85.5,78.7,2,18.0,1020.0,67.0,8.0,17,10,6,2019,0.0
3184,0,46.7,0.0,84.7,0,7.0,1031.0,100.0,1.0,2,28,2,2019,0.0
3186,2,44.3,12.2,83.1,2,20.0,1019.0,73.0,3.0,8,30,7,2018,0.0
3187,0,37.8,3.8,73.8,0,17.0,1001.0,63.0,3.0,5,18,11,2018,0.0
3188,1,36.5,11.1,78.8,0,11.0,1021.0,100.0,1.0,5,30,11,2018,0.0
3190,2,38.7,45.1,81.5,2,16.0,1018.0,93.0,0.0,10,19,9,2019,0.0
3191,3,40.6,51.0,87.6,2,20.0,1017.0,77.0,5.0,18,13,8,2018,0.0
3192,0,39.2,0.0,91.0,0,3.0,1021.0,87.0,4.0,6,20,2,2019,0.0
3193,0,45.5,0.9,82.4,0,13.0,1019.0,100.0,3.0,2,23,9,2019,0.0
3195,0,36.5,5.0,64.4,2,11.0,1022.0,93.0,0.0,7,28,4,2019,0.0
3196,2,43.0,15.5,77.9,2,15.0,1007.0,67.0,6.0,14,5,11,2018,0.0
3197,2,40.0,34.9,88.3,2,19.0,1016.0,100.0,4.0,12,28,8,2018,0.0
3198,0,39.2,1.0,76.8,0,21.0,1016.0,60.0,1.0,22,19,8,2018,0.0
3199,0,40.3,0.0,67.2,0,12.0,1016.0,76.0,4.0,4,28,5,2019,0.0
3200,1,45.8,4.6,90.7,0,17.0,1022.0,100.0,0.0,0,22,9,2018,0.0
3201,4,43.6,138.2,82.0,2,20.0,1012.0,77.0,3.0,18,20,9,2019,0.0
3202,0,37.5,8.5,88.4,0,19.0,1016.0,88.0,1.0,22,4,7,2019,0.0
3203,0,41.6,3.4,83.3,0,15.0,1022.0,100.0,1.0,22,26,9,2019,0.0
3204,0,40.0,0.0,87.9,2,16.0,1018.0,93.0,1.0,8,30,9,2018,0.0
3205,3,37.3,74.6,74.0,2,15.0,1014.0,72.0,8.0,18,16,5,2019,0.0
3206,0,44.9,0.0,84.6,0,14.0,1020.0,100.0,0.0,2,19,9,2018,0.0
3207,0,37.5,9.1,90.0,0,17.0,1015.0,100.0,10.0,0,19,7,2019,0.0
3208,0,39.7,3.1,77.9,0,9.0,1021.0,93.0,0.0,0,12,4,2019,0.0
3209,0,40.7,0.0,92.1,2,13.0,1022.0,100.0,0.0,7,22,9,2018,0.0
3210,2,34.8,32.5,99.6,2,17.0,1030.0,55.0,4.0,12,23,2,2019,0.0
3211,0,42.9,0.0,70.9,0,9.0,1014.0,100.0,2.0,2,20,5,2019,0.0
3212,0,47.4,0.0,75.7,0,14.0,1021.0,93.0,0.0,1,11,8,2018,0.0
3214,3,39.6,51.3,88.3,2,18.0,1020.0,88.0,3.0,18,20,9,2018,0.0
3215,0,34.3,8.8,79.7,0,16.0,1016.0,100.0,0.0,2,7,7,2019,0.0
3216,0,37.2,0.0,94.5,0,12.0,1028.0,76.0,1.0,2,24,2,2019,0.0
3217,1,36.1,4.9,69.5,1,4.0,1020.0,87.0,4.0,8,26,1,2019,0.0
3218,0,42.0,0.0,76.4,0,3.0,1022.0,93.0,1.0,2,18,1,2019,0.0
3220,0,45.5,0.0,81.2,0,20.0,1016.0,83.0,1.0,3,4,8,2018,0.0
3221,2,35.2,40.1,95.3,2,23.0,1022.0,62.0,2.0,12,21,9,2018,0.0
3222,1,37.4,5.2,79.8,2,14.0,1016.0,76.0,2.0,9,19,5,2019,0.0
3223,1,41.9,4.3,92.7,0,7.0,1010.0,75.0,4.0,2,2,2,2019,0.0
3224,3,52.2,6.4,70.0,0,8.0,1027.0,62.0,4.0,7,10,12,2018,0.0
3225,1,40.6,19.5,98.8,0,19.0,1016.0,100.0,0.0,21,17,8,2019,0.0
3226,2,46.2,8.5,67.1,0,18.0,1018.0,100.0,3.0,20,30,8,2019,0.0
3227,0,44.7,1.3,85.7,0,17.0,1018.0,31.0,7.0,6,25,9,2018,0.0
3228,3,34.5,52.8,91.3,2,18.0,1012.0,72.0,5.0,11,18,10,2018,0.0
3229,3,38.2,52.6,85.7,2,24.0,1024.0,56.0,3.0,14,11,9,2019,0.0
3230,0,40.9,0.0,75.4,2,10.0,1016.0,81.0,1.0,7,18,5,2019,0.0
3231,0,47.0,3.4,68.9,0,17.0,1015.0,100.0,1.0,20,17,9,2019,0.0
3232,0,42.2,3.6,78.0,0,17.0,1017.0,93.0,4.0,0,30,6,2019,0.0
3233,0,43.6,2.6,89.9,0,19.0,1015.0,93.0,1.0,22,15,7,2019,0.0
3234,3,35.9,92.0,86.1,2,21.0,1019.0,82.0,6.0,16,30,6,2019,0.0
3235,2,37.1,16.0,81.0,2,15.0,1021.0,93.0,1.0,7,14,8,2019,0.0
3236,0,40.2,1.9,66.7,0,17.0,1020.0,93.0,1.0,1,1,7,2019,0.0
3237,3,37.1,140.6,89.6,2,16.0,1018.0,93.0,3.0,16,30,9,2018,0.0
3238,3,45.9,15.7,60.8,1,20.0,1018.0,52.0,5.0,20,28,5,2019,0.0
3239,0,42.1,0.0,74.8,2,12.0,1023.0,93.0,7.0,9,2,12,2018,0.0
3240,2,41.5,20.1,74.6,0,20.0,1017.0,88.0,1.0,23,21,8,2019,0.0
3241,0,45.3,0.8,83.3,0,17.0,1015.0,93.0,0.0,3,6,9,2018,0.0
3242,1,31.7,12.9,81.2,2,14.0,1028.0,71.0,4.0,10,27,4,2019,0.0
3243,2,39.8,20.3,75.3,2,21.0,1016.0,68.0,5.0,13,21,5,2019,0.0
3244,4,45.0,97.0,80.6,1,14.0,1018.0,93.0,2.0,7,17,10,2018,0.0
3245,1,50.2,7.8,80.8,0,14.0,1018.0,100.0,1.0,2,20,8,2019,0.0
3247,4,45.4,102.6,84.1,2,16.0,1021.0,64.0,2.0,8,26,9,2018,0.0
3249,4,42.4,62.2,76.6,2,12.0,1022.0,100.0,1.0,9,4,12,2018,0.0
3250,0,45.3,3.6,86.8,0,14.0,1020.0,93.0,1.0,0,30,8,2018,0.0
3251,2,40.4,26.2,87.4,2,19.0,1018.0,93.0,1.0,11,18,9,2018,0.0
3252,1,40.4,13.5,83.2,0,18.0,1018.0,88.0,2.0,19,18,9,2018,0.0
3255,3,41.7,62.4,92.8,1,24.0,1012.0,47.0,5.0,19,7,9,2018,0.0
3257,2,40.3,37.6,88.9,0,22.0,1017.0,83.0,2.0,22,3,8,2018,0.0
3259,4,47.4,296.5,73.4,1,11.0,1021.0,100.0,2.0,7,27,9,2019,0.0
3260,3,39.6,46.7,80.2,2,24.0,1017.0,83.0,3.0,18,23,8,2019,0.0
3261,3,36.1,57.6,75.2,2,15.0,1016.0,62.0,6.0,17,18,5,2019,0.0
3262,2,38.9,97.5,79.1,0,13.0,1024.0,82.0,0.0,19,11,12,2018,0.0
3263,0,48.1,1.2,76.7,0,16.0,1023.0,77.0,2.0,5,13,9,2019,0.0
3264,0,41.1,0.0,89.6,0,5.0,1029.0,70.0,3.0,6,12,2,2019,0.0
3265,2,40.0,34.7,90.6,2,19.0,1014.0,60.0,2.0,9,7,9,2018,0.0
3266,0,41.7,0.0,75.0,0,13.0,1011.0,82.0,2.0,21,16,4,2019,0.0
3267,0,44.9,5.0,84.6,0,14.0,1014.0,100.0,0.0,1,27,8,2018,0.0
3268,0,36.0,0.0,61.5,0,15.0,1014.0,82.0,2.0,2,15,5,2019,0.0
3269,3,48.8,44.4,75.2,1,6.0,1023.0,100.0,2.0,8,8,2,2019,0.0
3270,2,37.5,23.0,76.1,2,21.0,1017.0,77.0,2.0,15,3,6,2019,0.0
3272,0,44.3,1.6,87.4,0,20.0,1016.0,88.0,1.0,5,4,8,2018,0.0
3273,1,45.2,7.6,74.1,0,20.0,1016.0,82.0,2.0,1,23,8,2019,0.0
3274,0,43.1,0.0,85.6,0,21.0,1017.0,38.0,5.0,5,3,9,2019,0.0
3275,2,37.0,28.3,91.0,2,23.0,1016.0,88.0,4.0,15,6,7,2019,0.0
3276,2,45.8,16.6,80.5,0,17.0,1022.0,87.0,3.0,22,12,8,2019,0.0
3277,2,37.1,32.0,89.6,2,22.0,1022.0,73.0,3.0,17,22,9,2018,0.0
3278,0,37.0,4.6,82.2,2,13.0,1023.0,100.0,2.0,8,11,5,2019,0.0
3279,0,38.0,0.0,73.3,0,13.0,1018.0,67.0,4.0,0,12,6,2019,0.0
3280,0,37.1,1.4,67.2,0,12.0,1020.0,87.0,4.0,22,24,1,2019,0.0
3281,3,41.6,48.2,84.6,2,15.0,1019.0,52.0,1.0,9,4,10,2018,0.0
3282,1,37.9,3.0,63.8,0,16.0,1014.0,100.0,5.0,23,18,6,2019,0.0
3283,0,42.1,0.0,78.5,0,9.0,1017.0,87.0,3.0,23,7,11,2018,0.0
3284,3,40.0,67.8,74.5,2,18.0,1015.0,59.0,7.0,16,12,6,2019,0.0
3285,3,40.5,53.5,82.0,2,13.0,1013.0,71.0,5.0,15,23,11,2018,0.0
3286,1,39.2,7.6,80.3,0,16.0,1017.0,93.0,1.0,22,21,6,2019,0.0
3287,1,47.9,1.8,71.4,0,9.0,1025.0,93.0,1.0,3,28,1,2019,0.0
3288,2,34.2,21.4,92.5,2,16.0,1019.0,100.0,0.0,9,23,8,2018,0.0
3289,2,37.1,43.8,90.1,2,27.0,1013.0,47.0,2.0,16,21,8,2018,0.0
3290,2,52.2,7.0,72.6,0,11.0,1025.0,66.0,5.0,7,14,2,2019,0.0
3291,0,43.1,0.0,71.3,0,17.0,1019.0,51.0,3.0,3,13,5,2019,0.0
3292,3,39.0,102.7,86.0,2,20.0,1018.0,72.0,6.0,17,9,9,2019,0.0
3293,2,46.2,14.8,87.7,2,26.0,1017.0,34.0,3.0,12,8,9,2019,0.0
3294,0,41.0,0.0,87.6,0,6.0,1022.0,76.0,5.0,6,21,2,2019,0.0
3295,3,39.3,71.0,84.5,2,23.0,1020.0,88.0,5.0,18,14,8,2019,0.0
3297,2,40.1,24.6,79.5,2,19.0,1019.0,93.0,2.0,12,28,8,2019,0.0
3298,1,33.9,4.9,74.2,0,16.0,1014.0,72.0,0.0,22,4,5,2019,0.0
3299,1,42.2,8.3,88.2,0,17.0,1018.0,82.0,3.0,22,31,7,2018,0.0
3300,2,40.1,21.4,90.2,2,31.0,1017.0,59.0,2.0,11,4,8,2018,0.0
3301,3,32.8,59.1,77.5,2,23.0,1014.0,64.0,5.0,15,22,6,2019,0.0
3302,2,33.9,39.1,93.4,2,27.0,1017.0,65.0,4.0,12,3,8,2018,0.0
3303,3,39.6,49.2,80.9,2,16.0,1016.0,72.0,4.0,14,14,6,2019,0.0
3304,2,36.7,69.6,89.9,0,11.0,1021.0,87.0,3.0,18,20,1,2019,0.0
3305,3,37.1,49.5,86.1,2,25.0,1017.0,94.0,3.0,14,23,7,2019,0.0
3306,0,37.5,1.5,87.8,0,16.0,1019.0,100.0,0.0,3,12,9,2018,0.0
3307,4,38.5,120.1,75.1,2,15.0,1012.0,77.0,3.0,16,18,4,2019,0.0
3308,0,41.5,0.0,89.0,2,11.0,1015.0,81.0,6.0,8,5,3,2019,0.0
3309,0,41.3,0.0,89.7,2,17.0,1016.0,100.0,2.0,7,16,8,2018,0.0
3310,0,48.5,0.0,83.3,0,9.0,1023.0,50.0,4.0,3,15,2,2019,0.0
3311,0,42.1,0.0,74.8,0,10.0,985.0,97.0,0.0,2,19,11,2018,0.0
3313,0,44.9,1.8,79.1,0,9.0,1022.0,100.0,1.0,22,12,11,2018,0.0
3314,1,35.5,15.0,82.9,2,26.0,1018.0,47.0,2.0,10,1,6,2019,0.0
3316,1,35.1,19.1,93.5,2,12.0,1031.0,54.0,3.0,12,11,2,2019,0.0
3317,3,35.2,134.1,81.1,2,15.0,1015.0,82.0,2.0,10,14,6,2019,0.0
3318,3,43.3,72.5,85.2,2,25.0,1024.0,69.0,4.0,17,27,9,2018,0.0
3319,0,43.9,0.0,84.7,1,19.0,1015.0,63.0,4.0,7,13,10,2018,0.0
3320,0,41.8,0.0,77.3,0,12.0,1011.0,82.0,4.0,6,17,11,2018,0.0
3321,2,43.4,9.7,80.1,0,19.0,1014.0,93.0,2.0,2,13,7,2019,0.0
3322,3,39.6,30.5,79.0,2,24.0,1014.0,69.0,1.0,17,26,8,2019,0.0
3323,3,36.3,92.6,86.3,2,20.0,1018.0,77.0,7.0,16,9,9,2019,0.0
3324,3,35.0,50.1,81.5,2,17.0,1022.0,67.0,5.0,19,15,6,2019,0.0
3325,3,44.0,12.8,87.0,2,17.0,1015.0,93.0,1.0,7,6,9,2018,0.0
3327,2,39.6,36.5,88.3,2,17.0,1019.0,72.0,0.0,10,30,8,2018,0.0
3328,0,37.8,0.9,64.0,0,12.0,1011.0,93.0,2.0,23,6,6,2019,0.0
3329,1,40.4,9.9,88.3,0,25.0,1013.0,61.0,1.0,20,21,8,2018,0.0
3330,1,51.8,1.1,79.3,0,5.0,1023.0,100.0,3.0,5,8,2,2019,0.0
3332,2,46.0,5.2,81.6,0,7.0,1010.0,75.0,4.0,0,28,10,2018,0.0
3333,0,41.8,0.0,81.1,0,20.0,1019.0,60.0,2.0,20,24,9,2018,0.0
3334,4,48.1,90.3,65.4,2,11.0,1016.0,82.0,2.0,7,21,5,2019,0.0
3335,4,47.1,187.1,63.2,2,16.0,1018.0,93.0,2.0,8,3,6,2019,0.0
3337,2,37.1,36.1,89.6,2,20.0,1021.0,82.0,2.0,14,20,9,2018,0.0
3338,2,45.6,16.1,80.3,2,16.0,1018.0,100.0,1.0,7,28,8,2019,0.0
3339,0,42.1,2.2,87.9,0,13.0,1019.0,100.0,8.0,3,10,2,2019,0.0
3340,0,45.5,0.0,85.6,0,12.0,1010.0,82.0,1.0,6,7,11,2018,0.0
3342,1,40.1,4.2,84.1,2,15.0,1017.0,93.0,2.0,7,13,8,2018,0.0
3343,2,42.3,19.4,89.1,2,30.0,1016.0,58.0,2.0,11,5,8,2018,0.0
3344,1,37.2,8.5,94.7,0,12.0,1029.0,100.0,1.0,23,1,3,2019,0.0
